river;agency;station_code;station_name;date;discharge;flag
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-26 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-27 00:00:00;4080;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-28 00:00:00;4050;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-29 00:00:00;4050;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-30 00:00:00;4050;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-12-31 00:00:00;4050;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-01 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-02 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-03 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-04 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-05 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-06 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-07 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-08 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-09 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-10 00:00:00;4110;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-11 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-12 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-13 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-14 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-15 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-16 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-17 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-18 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-19 00:00:00;3960;A
