river,agency,station_code,station_name,date,discharge,flag,Datetime,Datetime Kusur,Time to add for correction,Datetime Samoylov
Lena,Roshydromet,3821,Kyusyur,1936-05-13,2190,A,12:00:00 nachm.,1936-05-13 12:00:00,60:00:00,1936-05-16 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-14,2400,A,12:00:00 nachm.,1936-05-14 12:00:00,60:00:00,1936-05-17 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-15,2610,A,12:00:00 nachm.,1936-05-15 12:00:00,60:00:00,1936-05-18 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-16,2820,A,12:00:00 nachm.,1936-05-16 12:00:00,60:00:00,1936-05-19 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-17,3030,A,12:00:00 nachm.,1936-05-17 12:00:00,60:00:00,1936-05-20 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-18,3240,A,12:00:00 nachm.,1936-05-18 12:00:00,60:00:00,1936-05-21 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-19,3440,A,12:00:00 nachm.,1936-05-19 12:00:00,60:00:00,1936-05-22 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-20,3640,A,12:00:00 nachm.,1936-05-20 12:00:00,60:00:00,1936-05-23 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-21,3840,A,12:00:00 nachm.,1936-05-21 12:00:00,60:00:00,1936-05-24 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-22,4990,A,12:00:00 nachm.,1936-05-22 12:00:00,60:00:00,1936-05-25 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-23,6990,A,12:00:00 nachm.,1936-05-23 12:00:00,60:00:00,1936-05-26 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-24,8260,A,12:00:00 nachm.,1936-05-24 12:00:00,60:00:00,1936-05-27 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-25,10200,A,12:00:00 nachm.,1936-05-25 12:00:00,60:00:00,1936-05-28 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-26,12100,A,12:00:00 nachm.,1936-05-26 12:00:00,60:00:00,1936-05-29 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-27,13300,A,12:00:00 nachm.,1936-05-27 12:00:00,60:00:00,1936-05-30 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-28,15600,A,12:00:00 nachm.,1936-05-28 12:00:00,60:00:00,1936-05-31 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-29,26500,A,12:00:00 nachm.,1936-05-29 12:00:00,60:00:00,1936-06-01 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-30,37400,A,12:00:00 nachm.,1936-05-30 12:00:00,60:00:00,1936-06-02 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-05-31,48400,A,12:00:00 nachm.,1936-05-31 12:00:00,60:00:00,1936-06-03 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-01,59300,A,12:00:00 nachm.,1936-06-01 12:00:00,60:00:00,1936-06-04 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-02,70200,A,12:00:00 nachm.,1936-06-02 12:00:00,60:00:00,1936-06-05 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-03,81200,A,12:00:00 nachm.,1936-06-03 12:00:00,60:00:00,1936-06-06 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-04,92100,A,12:00:00 nachm.,1936-06-04 12:00:00,60:00:00,1936-06-07 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-05,103000,A,12:00:00 nachm.,1936-06-05 12:00:00,60:00:00,1936-06-08 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-06,97300,A,12:00:00 nachm.,1936-06-06 12:00:00,60:00:00,1936-06-09 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-07,92000,A,12:00:00 nachm.,1936-06-07 12:00:00,60:00:00,1936-06-10 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-08,86500,A,12:00:00 nachm.,1936-06-08 12:00:00,60:00:00,1936-06-11 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-09,79200,A,12:00:00 nachm.,1936-06-09 12:00:00,60:00:00,1936-06-12 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-10,73400,A,12:00:00 nachm.,1936-06-10 12:00:00,60:00:00,1936-06-13 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-11,68900,A,12:00:00 nachm.,1936-06-11 12:00:00,60:00:00,1936-06-14 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-12,65500,A,12:00:00 nachm.,1936-06-12 12:00:00,60:00:00,1936-06-15 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-13,62200,A,12:00:00 nachm.,1936-06-13 12:00:00,60:00:00,1936-06-16 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-14,59000,A,12:00:00 nachm.,1936-06-14 12:00:00,60:00:00,1936-06-17 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-15,56400,A,12:00:00 nachm.,1936-06-15 12:00:00,60:00:00,1936-06-18 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-16,54900,A,12:00:00 nachm.,1936-06-16 12:00:00,60:00:00,1936-06-19 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-17,54300,A,12:00:00 nachm.,1936-06-17 12:00:00,60:00:00,1936-06-20 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-18,52500,A,12:00:00 nachm.,1936-06-18 12:00:00,60:00:00,1936-06-21 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-19,51400,A,12:00:00 nachm.,1936-06-19 12:00:00,60:00:00,1936-06-22 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-20,50300,A,12:00:00 nachm.,1936-06-20 12:00:00,60:00:00,1936-06-23 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-21,48600,A,12:00:00 nachm.,1936-06-21 12:00:00,60:00:00,1936-06-24 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-22,48400,A,12:00:00 nachm.,1936-06-22 12:00:00,60:00:00,1936-06-25 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-23,48900,A,12:00:00 nachm.,1936-06-23 12:00:00,60:00:00,1936-06-26 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-24,49400,A,12:00:00 nachm.,1936-06-24 12:00:00,60:00:00,1936-06-27 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-25,50200,A,12:00:00 nachm.,1936-06-25 12:00:00,60:00:00,1936-06-28 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-26,51100,A,12:00:00 nachm.,1936-06-26 12:00:00,60:00:00,1936-06-29 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-06-27,51600,A,12:00:00 nachm.,1936-06-27 12:00:00,60:00:00,1936-06-30 00:00:00
